,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
0,ambaCzFTyo8,Linus Tech Tips,2687,0,44929,1094121
1,Bc422iIvCcY,Linus Tech Tips,4064,0,58985,1459641
2,YznFvx5DFUw,Linus Tech Tips,2540,0,63145,1508343
3,wUVWuH9RDGQ,Linus Tech Tips,7703,0,117264,1764835
4,YGhfy3om9Ok,Linus Tech Tips,5324,0,79088,2151766
5,A6_UOejJ8Zk,Linus Tech Tips,3956,0,27613,1559241
6,i8mgIhq9j2U,Linus Tech Tips,390,0,35061,640144
7,rTpXBCy6WGY,Linus Tech Tips,5004,0,50009,1409564
8,IawfrWLDN4U,Linus Tech Tips,3656,0,74820,1705442
9,ESW3gXUo1QM,Linus Tech Tips,2930,0,62886,1530674
10,QOhLlvNlI20,Linus Tech Tips,5766,0,99375,2507738
11,E8RS6SZRk_4,Linus Tech Tips,8639,0,98120,3032120
12,jzzbFyGx3R4,Linus Tech Tips,2717,0,61319,1399363
13,boPRXV0VmEk,Linus Tech Tips,2133,0,19784,1016185
14,_62Z80rGZfA,Linus Tech Tips,2875,0,54790,1314671
15,Z4_qgKQadwI,Linus Tech Tips,7094,0,100929,2622968
16,M7Lr3ujt4Ro,Linus Tech Tips,1147,0,23659,920759
17,d8bZCve_ZKA,Linus Tech Tips,7703,0,128513,2920483
18,_9YNF8oWS5Q,Linus Tech Tips,2737,0,50719,1163998
19,rMUFSt7irnI,Linus Tech Tips,3150,0,72285,2299459
20,_FqH1rqQrQg,Linus Tech Tips,1804,0,17530,775936
21,Y2ZG9SrxNo8,Linus Tech Tips,940,0,43232,874230
22,MWMpe-SOsuI,Linus Tech Tips,3906,0,71731,1977463
23,Z07ZNsWGC80,Linus Tech Tips,8122,0,138583,2520981
24,e7fe_LXK93E,Linus Tech Tips,4246,0,47959,1317577
25,sMTs5bvAsGA,Linus Tech Tips,4324,0,53127,1278397
26,dN00ykh1kBo,Linus Tech Tips,3086,0,55188,1494006
27,gBCpP-HSxkI,Linus Tech Tips,1258,0,73753,1310928
28,oAsBiplfM9A,Linus Tech Tips,2782,0,62595,1481247
29,6x68X05ZLRE,Linus Tech Tips,2512,0,22959,1235321
30,h7mNA2L_6Z4,Linus Tech Tips,1559,0,52977,1477627
31,ykDuoq-MpHg,Linus Tech Tips,5610,0,74601,1966381
32,vt_m5VzmU_E,Linus Tech Tips,2273,0,61003,1569660
33,uJvCVw1yONQ,Linus Tech Tips,3113,0,68424,2063950
34,b-WFetQjifc,Linus Tech Tips,2652,0,55937,1479478
35,4y-qF7Ga_W0,Linus Tech Tips,5653,0,58644,1591805
36,AxAAJnp5yms,Linus Tech Tips,3124,0,31204,1789550
37,3krKy7whDz0,Linus Tech Tips,708,0,66803,1203701
38,n_ZAa_FEdz0,Linus Tech Tips,4339,0,100405,2586144
39,RYMnIGxxqU0,Linus Tech Tips,5684,0,64777,1567013
40,mWEE2RJj3YI,Linus Tech Tips,5092,0,76327,2255905
41,NXVeSJ1WAt0,Linus Tech Tips,6270,0,95715,1964854
42,eVf7NLBj0y0,Linus Tech Tips,3072,0,81705,2402764
43,UFytB3bb1P8,Linus Tech Tips,4333,0,71770,1657897
44,_aSFKdBm944,Linus Tech Tips,2154,0,19052,985346
45,jHw5FsWYgBY,Linus Tech Tips,901,0,35018,557290
46,Wwc9vy6BIII,Linus Tech Tips,4061,0,62714,1946992
47,IJaJ0pwdqUU,Linus Tech Tips,5802,0,80090,2292544
48,4ug_KYlnfws,Linus Tech Tips,1502,0,24085,1546248
49,jKF5GtBIxpM,Linus Tech Tips,5145,0,54730,1358164
0,j6kde-sXlKg,Linus Tech Tips,3151,0,71058,1821816
1,Paabqb7IxG4,Linus Tech Tips,3772,0,59436,1379519
2,KkmZGFEpd5c,Linus Tech Tips,2916,0,15298,850004
3,agQqI4rLwdk,Linus Tech Tips,832,0,78235,1254078
4,1CBQM2X8BZQ,Linus Tech Tips,3965,0,86687,2703981
5,N74UyI_dd0w,Linus Tech Tips,9406,0,99101,2839917
6,J2UaipfsR7Q,Linus Tech Tips,3744,0,92348,2720512
7,TzntUW34bv8,Linus Tech Tips,4845,0,91034,2449534
8,bTpKM43VhwA,Linus Tech Tips,3960,0,56525,1481826
9,FPe3TAKOT9Y,Linus Tech Tips,1532,0,112627,1703596
10,4GASGO0go5I,Linus Tech Tips,5555,0,129574,2271052
11,1dhGKw7ph3s,Linus Tech Tips,2770,0,19146,1417576
12,5WJak0Y7X80,Linus Tech Tips,9292,0,154326,4357913
13,nr4kmlTr9xw,Linus Tech Tips,5867,0,57696,1698163
14,jXzJ7FlqX6M,Linus Tech Tips,1131,0,50784,1501214
15,VrCPrVI5dCA,Linus Tech Tips,3742,0,70506,1967965
16,FPF7Z7TLdsk,Linus Tech Tips,2621,0,46522,1200821
17,c-J229FzKXk,Linus Tech Tips,2337,0,66396,2228780
18,B1lfVm7JMFk,Linus Tech Tips,3222,0,27536,856769
19,auObtDOftAI,Linus Tech Tips,1142,0,23503,706561
20,tj-tp_XDCqE,Linus Tech Tips,1384,0,122083,2074147
21,uSWRI2BMRJw,Linus Tech Tips,1087,0,27996,760640
22,dhxvXiwE8rY,Linus Tech Tips,7117,0,73785,1907441
23,aSxomAgD8s4,Linus Tech Tips,2745,0,51912,1474245
24,CTiRNnSg0jA,Linus Tech Tips,3760,0,57592,1780038
25,-PD0FZt9-VU,Linus Tech Tips,1550,0,35046,853839
26,k3LlyLx-2b8,Linus Tech Tips,2052,0,54195,1490164
27,MKTkE97rHdE,Linus Tech Tips,1952,0,18072,840267
28,IO3_ATgy52c,Linus Tech Tips,1948,0,49896,1396425
29,jKmmugnOEME,Linus Tech Tips,8478,0,93408,2934054
30,dA5W3T-f4Ig,Linus Tech Tips,1062,0,130306,2148672
31,0E44CQ-8ooI,Linus Tech Tips,4049,0,102636,1887012
32,_cLsK2YZwDU,Linus Tech Tips,3826,0,96333,2801632
33,Um0l6ZSxfTE,Linus Tech Tips,5393,0,109062,3797517
34,pdsy1F5dqTU,Linus Tech Tips,7477,0,132306,2734259
35,b6LnXwytBuA,Linus Tech Tips,2820,0,24711,1796516
36,JIfPIgwpJSg,Linus Tech Tips,4177,0,75637,1665625
37,b0vy1VzFbf8,Linus Tech Tips,3660,0,66424,1794864
38,_xh4k9fwgtc,Linus Tech Tips,2884,0,70856,1938574
39,0U1oNI1lHIM,Linus Tech Tips,4557,0,77693,2177215
40,jgzI-N_U2hs,Linus Tech Tips,3266,0,65052,1907801
41,GgK1o5ytXr8,Linus Tech Tips,5107,0,128081,3746000
42,TXsw_92Y2e0,Linus Tech Tips,2865,0,18532,928707
43,xu-0ByG0jJs,Linus Tech Tips,824,0,63490,1030095
44,kuTTAuUorsI,Linus Tech Tips,3037,0,75045,2135472
45,IYt8vjM0lq8,Linus Tech Tips,4768,0,86795,2098517
46,jGT37X3H_MA,Linus Tech Tips,2956,0,50305,1239075
47,PR-1tMih0fM,Linus Tech Tips,2644,0,43479,1204087
48,RRwDkyStFzY,Linus Tech Tips,3391,0,75285,1963840
49,VMXonRuD_zw,Linus Tech Tips,2605,0,63870,1307843
0,Wx-9FZmT_0g,Linus Tech Tips,3186,0,16139,725387
1,QFaejpKvghs,Linus Tech Tips,618,0,38085,643843
2,S0zpKHvEKXc,Linus Tech Tips,1801,0,44565,1297908
3,4TwfM3s2Wdw,Linus Tech Tips,4151,0,95934,2929370
4,1BLU-tnFOXk,Linus Tech Tips,3375,0,68153,1745764
5,TBJ-vo6Ri9c,Linus Tech Tips,5677,0,73118,2070109
6,-EhDlXx3okU,Linus Tech Tips,5125,0,102140,2067549
7,Qqu3B97qb4w,Linus Tech Tips,2264,0,46896,1318782
8,Qt4x6HQPoow,Linus Tech Tips,1540,0,15147,945484
9,pvEZELnbPoI,Linus Tech Tips,1105,0,48158,899755
10,qgK38sg1ws4,Linus Tech Tips,2205,0,62860,1595417
11,W8snwlE93aE,Linus Tech Tips,3565,0,71575,2267965
12,QoC8R3KHk8E,Linus Tech Tips,6257,0,91265,2697775
13,RFzirpvTiOo,Linus Tech Tips,2020,0,51904,1120599
14,f-dGcs6bb5U,Linus Tech Tips,3808,0,59310,1420125
15,OHKKcd3sx2c,Linus Tech Tips,13365,0,129343,3091779
16,Luz82RG5PqA,Linus Tech Tips,1975,0,19410,1061965
17,IvqrlgKuowE,Linus Tech Tips,3208,0,73923,1540155
18,C6aCCp-Umcw,Linus Tech Tips,2912,0,61287,1787139
19,xfv6xX0kLLY,Linus Tech Tips,1964,0,59358,1185412
20,tdhNpxyQLGo,Linus Tech Tips,4876,0,103738,3388592
21,2BhKx0iQ4K8,Linus Tech Tips,2473,0,64734,1695569
22,C0i4VhKB5fE,Linus Tech Tips,696,0,101771,2111858
23,kZOe7aaiqqE,Linus Tech Tips,2280,0,55829,1561333
24,zYpyS2HaZHM,Linus Tech Tips,2402,0,13853,511603
25,9_6MA0IACi0,Linus Tech Tips,1239,0,24952,791023
26,VDsfO2b6_Hc,Linus Tech Tips,4239,0,73361,2065745
27,0BHNeSQvhCQ,Linus Tech Tips,167,0,12582,303463
28,sF9MrFyEF5E,Linus Tech Tips,4709,0,74221,2330252
29,5nI0AI8k8cU,Linus Tech Tips,4162,0,78066,2037029
30,qixXsJBmyd8,Linus Tech Tips,4298,0,80445,2656388
31,papQ8xQxizA,Linus Tech Tips,4850,0,77196,2753766
32,WXp4g-KzdAI,Linus Tech Tips,1179,0,39848,997274
33,vKZXiQOO52I,Linus Tech Tips,1841,0,14135,739748
34,i8MVxsDL_FA,Linus Tech Tips,679,0,133357,2226836
35,k-6yc1dA--0,Linus Tech Tips,2618,0,53615,1462480
36,M0VddWcJDe8,Linus Tech Tips,5165,0,58344,1152065
